state_code,income_bucket,loan_purpose,median_loan_amount_male,median_loan_amount_female,median_interest_rate_male,median_interest_rate_female,approvals_male,approvals_female,loan_amount_gap_male_minus_female,interest_rate_gap_male_minus_female
VI,Low,1,235000.0,135000.0,7.125,7.125,1,1,100000.0,0.0
AL,Low,1,165000.0,155000.0,6.75,6.75,11073,8867,10000.0,0.0
CA,Low,31,235000.0,235000.0,7.25,7.25,2074,2169,0.0,0.0
AR,Low,4,45000.0,35000.0,8.5,8.587499999999999,783,626,10000.0,-0.08749999999999858
ME,High,31,225000.0,190000.0,7.5,7.3125,276,138,35000.0,0.1875
NM,High,32,255000.0,205000.0,6.99,7.125,427,179,50000.0,-0.1349999999999998
OK,Middle,32,175000.0,155000.0,6.75,6.75,1650,730,20000.0,0.0
NE,Low,2,45000.0,35000.0,7.75,7.75,310,286,10000.0,0.0
KY,Low,4,45000.0,45000.0,8.25,8.498999999999999,1384,1142,0.0,-0.24899999999999878
IN,High,1,365000.0,335000.0,6.75,6.875,10479,4165,30000.0,-0.125
DC,High,31,365000.0,365000.0,7.24,6.75,126,106,0.0,0.4900000000000002
MS,Low,2,45000.0,35000.0,8.25,8.25,379,351,10000.0,0.0
DE,Middle,1,315000.0,305000.0,6.625,6.625,3051,2391,10000.0,0.0
NJ,Middle,32,225000.0,215000.0,6.75,6.75,3970,2430,10000.0,0.0
ME,Low,1,185000.0,175000.0,6.625,6.625,1638,1369,10000.0,0.0
IL,Low,32,115000.0,115000.0,6.75,6.875,2413,2010,0.0,-0.125
SC,Middle,31,130000.0,135000.0,7.125,6.99,1148,615,-5000.0,0.1349999999999998
SD,High,32,155000.0,165000.0,7.75,7.625,200,85,-10000.0,0.125
RI,High,4,125000.0,105000.0,7.5,7.5,573,246,20000.0,0.0
WI,High,4,75000.0,65000.0,7.25,6.99,3177,1605,10000.0,0.2599999999999998
NJ,Middle,1,335000.0,315000.0,6.625,6.625,16995,11552,20000.0,0.0
WV,High,2,75000.0,65000.0,7.5,8.25,299,106,10000.0,-0.75
MA,High,4,145000.0,105000.0,7.5,7.5,3314,1632,40000.0,0.0
MN,Low,2,45000.0,45000.0,7.75,7.75,999,966,0.0,0.0
GA,Middle,31,175000.0,175000.0,7.0,6.875,2207,1277,0.0,0.125
MD,Middle,32,215000.0,205000.0,6.75,6.75,2922,2327,10000.0,0.0
MS,Middle,31,85000.0,75000.0,8.0,8.0,1545,555,10000.0,0.0
UT,Middle,32,245000.0,225000.0,6.99,6.99,2451,1030,20000.0,0.0
SD,Middle,32,155000.0,135000.0,7.375,7.125,490,218,20000.0,0.25
IL,High,31,205000.0,195000.0,7.45,7.245,2334,718,10000.0,0.20500000000000007
WA,Middle,4,75000.0,75000.0,8.45,8.25,3856,2386,0.0,0.1999999999999993
OH,High,2,95000.0,75000.0,8.25,8.44,5089,2055,20000.0,-0.1899999999999995
ID,Low,4,65000.0,55000.0,8.25,8.35,526,369,10000.0,-0.09999999999999964
NM,High,1,395000.0,365000.0,6.75,6.875,3240,1508,30000.0,-0.125
IN,High,32,175000.0,155000.0,7.25,7.249,2145,751,20000.0,0.001000000000000334
UT,High,4,105000.0,105000.0,8.0,7.99,2516,869,0.0,0.009999999999999787
AL,Low,32,135000.0,125000.0,6.5,6.625,2107,1778,10000.0,-0.125
WV,Low,32,105000.0,105000.0,6.5,6.625,592,439,0.0,-0.125
IL,Middle,4,55000.0,55000.0,8.75,8.75,4137,1949,0.0,0.0
OH,Low,2,45000.0,45000.0,8.59,8.65,4599,3878,0.0,-0.0600000000000005
IL,High,2,95000.0,85000.0,8.49,8.5,3827,1498,10000.0,-0.009999999999999787
MD,High,31,225000.0,245000.0,7.24,6.99,1476,654,-20000.0,0.25
OR,Middle,1,375000.0,355000.0,6.625,6.625,10475,7492,20000.0,0.0
GU,Middle,31,,375000.0,,6.0,,2,,
IL,Low,1,135000.0,135000.0,6.625,6.624,17625,15312,0.0,0.001000000000000334
AL,Middle,4,55000.0,55000.0,8.75,8.75,2522,1224,0.0,0.0
CT,Low,2,55000.0,55000.0,7.4,7.49,489,499,0.0,-0.08999999999999986
NV,High,31,265000.0,255000.0,7.24,7.49,409,172,10000.0,-0.25
ME,Low,32,145000.0,125000.0,6.75,6.75,543,481,20000.0,0.0
NM,Low,32,155000.0,145000.0,6.625,6.625,675,602,10000.0,0.0
CO,Low,4,55000.0,55000.0,8.74,8.7,1408,1445,0.0,0.040000000000000924
UT,Low,1,265000.0,245000.0,6.4945,6.5,3050,2066,20000.0,-0.005499999999999616
SD,High,1,385000.0,355000.0,6.625,6.75,1390,517,30000.0,-0.125
LA,Low,4,55000.0,65000.0,8.0,7.75,399,399,-10000.0,0.25
PR,High,31,205000.0,215000.0,6.5,7.25,29,7,-10000.0,-0.75
OH,High,31,155000.0,135000.0,7.625,7.75,2900,940,20000.0,-0.125
KS,Middle,2,55000.0,55000.0,8.0,8.25,1087,600,0.0,-0.25
MO,High,32,225000.0,205000.0,6.999,6.99,1178,460,20000.0,0.008999999999999453
MI,High,31,175000.0,145000.0,7.5,7.49,2129,676,30000.0,0.009999999999999787
WV,Middle,4,55000.0,65000.0,7.125,7.75,468,209,-10000.0,-0.625
FL,High,2,115000.0,105000.0,8.0,8.09,10384,4050,10000.0,-0.08999999999999986
KS,Middle,31,95000.0,105000.0,7.375,6.875,701,342,-10000.0,0.5
MI,High,2,95000.0,75000.0,8.25,8.25,3654,1559,20000.0,0.0
SD,Low,32,125000.0,105000.0,6.875,6.875,301,209,20000.0,0.0
OH,Low,31,85000.0,75000.0,7.75,7.55,3505,2885,10000.0,0.20000000000000018
GA,Middle,2,65000.0,65000.0,8.5,8.48,4134,2507,0.0,0.019999999999999574
AZ,High,1,475000.0,455000.0,6.625,6.625,20094,8524,20000.0,0.0
FL,High,31,255000.0,255000.0,7.49,7.375,4063,1498,0.0,0.11500000000000021
TX,Middle,32,165000.0,155000.0,7.19,7.25,10973,6150,10000.0,-0.05999999999999961
MN,Low,31,95000.0,85000.0,7.0,6.875,759,648,10000.0,0.125
DE,Middle,32,245000.0,215000.0,6.75,6.75,572,362,30000.0,0.0
WV,High,31,125000.0,125000.0,7.25,7.0,224,57,0.0,0.25
PR,High,2,275000.0,235000.0,6.5,7.1875,11,4,40000.0,-0.6875
OK,Middle,1,235000.0,225000.0,6.75,6.875,10987,5497,10000.0,-0.125
NV,High,2,105000.0,105000.0,8.4,8.25,1026,513,0.0,0.15000000000000036
CA,Middle,1,405000.0,395000.0,6.453,6.5,48057,29878,10000.0,-0.04699999999999971
CT,Low,31,105000.0,105000.0,6.999,6.99,525,511,0.0,0.008999999999999453
NE,High,32,185000.0,155000.0,7.0,7.0,408,173,30000.0,0.0
MD,High,2,105000.0,105000.0,8.0,8.0,3077,1515,0.0,0.0
NY,Middle,4,65000.0,65000.0,7.5,7.49,4609,2911,0.0,0.009999999999999787
MS,Middle,2,55000.0,55000.0,8.25,8.5,621,276,0.0,-0.25
RI,High,32,285000.0,275000.0,6.875,6.99,373,158,10000.0,-0.11500000000000021
NH,High,32,255000.0,205000.0,6.875,6.75,710,333,50000.0,0.125
WA,Middle,1,395000.0,375000.0,6.59,6.625,18506,11802,20000.0,-0.03500000000000014
WI,High,1,375000.0,355000.0,6.75,6.75,9669,4535,20000.0,0.0
VT,Low,32,135000.0,150000.0,6.617,6.5,117,122,-15000.0,0.11699999999999999
MT,Middle,31,145000.0,135000.0,7.75,7.5625,283,146,10000.0,0.1875
AR,Low,32,135000.0,125000.0,6.625,6.625,1174,824,10000.0,0.0
WV,Middle,1,225000.0,215000.0,6.75,6.75,3732,1935,10000.0,0.0
UT,High,1,545000.0,505000.0,6.625,6.625,9619,3321,40000.0,0.0
CA,Middle,4,75000.0,75000.0,8.75,8.49,9048,5986,0.0,0.2599999999999998
IN,Low,2,45000.0,35000.0,8.25,8.25,2784,2329,10000.0,0.0
LA,Low,1,155000.0,155000.0,6.75,6.75,6949,6319,0.0,0.0
AL,Middle,1,255000.0,245000.0,6.625,6.625,15660,7722,10000.0,0.0
MD,Low,32,165000.0,145000.0,6.5,6.5,1172,1181,20000.0,0.0
MS,High,32,175000.0,185000.0,6.75,6.625,373,111,-10000.0,0.125
SD,High,4,105000.0,75000.0,8.59,8.7,179,56,30000.0,-0.10999999999999943
VA,Middle,2,65000.0,55000.0,8.25,8.24,3776,2180,10000.0,0.009999999999999787
UT,Low,4,55000.0,45000.0,7.75,7.99,1160,864,10000.0,-0.2400000000000002
MT,Middle,2,65000.0,65000.0,8.65,8.5,503,282,0.0,0.15000000000000036
WI,Middle,31,85000.0,85000.0,6.375,6.0,3627,2231,0.0,0.375
KS,High,32,195000.0,175000.0,7.125,6.99,561,241,20000.0,0.1349999999999998
OR,Middle,4,65000.0,65000.0,8.5,8.5,2536,1611,0.0,0.0
CO,Low,1,225000.0,215000.0,6.5,6.5,4553,4053,10000.0,0.0
VA,Middle,31,155000.0,155000.0,7.125,6.875,1888,1081,0.0,0.25
AZ,High,4,105000.0,105000.0,8.75,8.5,3197,1321,0.0,0.25
HI,Middle,32,395000.0,345000.0,6.375,6.5,332,195,50000.0,-0.125
KY,Low,32,125000.0,115000.0,6.75,6.75,1957,1494,10000.0,0.0
VT,Middle,32,185000.0,205000.0,6.5,6.625,253,148,-20000.0,-0.125
ID,Low,1,235000.0,225000.0,6.375,6.375,2978,1931,10000.0,0.0
OR,High,32,305000.0,295000.0,7.5,7.25,1066,483,10000.0,0.25
WI,Middle,2,55000.0,55000.0,7.5,7.5,4637,2660,0.0,0.0
NJ,Middle,4,75000.0,65000.0,8.5,8.44,3449,2047,10000.0,0.0600000000000005
NM,High,4,105000.0,85000.0,8.49,8.375,379,171,20000.0,0.11500000000000021
OK,Middle,4,55000.0,55000.0,8.74,8.625,1425,630,0.0,0.11500000000000021
DC,Low,31,235000.0,165000.0,6.875,6.74,21,27,70000.0,0.1349999999999998
NH,Low,2,55000.0,55000.0,7.84,7.99,356,312,0.0,-0.15000000000000036
DC,Low,2,75000.0,95000.0,7.37,7.825,14,28,-20000.0,-0.45500000000000007
IL,Middle,1,245000.0,235000.0,6.75,6.75,29711,18781,10000.0,0.0
MA,High,1,585000.0,545000.0,6.5,6.575,16381,8878,40000.0,-0.07500000000000018
VA,Low,31,95000.0,95000.0,7.19,7.1125,1229,1140,0.0,0.07750000000000057
DE,Low,32,185000.0,160000.0,6.5,6.625,349,336,25000.0,-0.125
NH,Low,31,115000.0,105000.0,7.44,7.529999999999999,238,202,10000.0,-0.08999999999999897
NY,Middle,1,275000.0,255000.0,6.625,6.624,22707,16089,20000.0,0.001000000000000334
IN,Low,31,75000.0,65000.0,7.49,7.25,2361,1746,10000.0,0.2400000000000002
VA,Low,2,55000.0,45000.0,8.0,8.0,1333,1258,10000.0,0.0
PA,Middle,32,165000.0,155000.0,6.74,6.625,5781,3167,10000.0,0.11500000000000021
ID,Middle,32,195000.0,175000.0,7.125,7.25,1874,903,20000.0,-0.125
IL,Low,4,55000.0,45000.0,8.375,8.05,1802,1573,10000.0,0.3249999999999993
MA,Low,1,215000.0,205000.0,6.375,6.375,2307,2494,10000.0,0.0
NJ,High,31,255000.0,235000.0,7.49,7.25,3176,1153,20000.0,0.2400000000000002
PR,Low,4,95000.0,85000.0,6.3125,6.25,50,42,10000.0,0.0625
LA,High,32,205000.0,195000.0,6.999,6.9945,692,224,10000.0,0.004499999999999282
MO,Low,32,135000.0,125000.0,6.75,6.625,2527,1861,10000.0,0.125
WY,Low,32,165000.0,145000.0,6.482,6.625,185,145,20000.0,-0.1429999999999998
VT,High,2,85000.0,75000.0,7.5,7.5,433,241,10000.0,0.0
OH,Middle,4,55000.0,55000.0,8.74,8.75,7096,3596,0.0,-0.009999999999999787
DE,High,4,105000.0,85000.0,8.27,8.25,378,131,20000.0,0.019999999999999574
NC,Middle,32,225000.0,205000.0,6.75,6.75,6142,2936,20000.0,0.0
HI,High,1,725000.0,685000.0,6.375,6.5,3093,1467,40000.0,-0.125
MN,High,4,85000.0,75000.0,8.0,7.99,2463,1158,10000.0,0.009999999999999787
ID,High,4,125000.0,115000.0,8.5,8.5,693,225,10000.0,0.0
MT,Low,1,205000.0,175000.0,6.4655000000000005,6.5,1138,825,30000.0,-0.03449999999999953
IA,High,1,325000.0,305000.0,6.5,6.625,4282,1923,20000.0,-0.125
LA,Middle,2,65000.0,65000.0,8.49,8.5,675,361,0.0,-0.009999999999999787
ND,Middle,4,55000.0,55000.0,8.25,8.0,267,109,0.0,0.25
PA,High,4,105000.0,85000.0,7.74,7.5,5434,2231,20000.0,0.2400000000000002
SC,High,32,260000.0,235000.0,6.99,7.249,1376,557,25000.0,-0.25899999999999945
MN,Middle,31,105000.0,95000.0,7.25,7.1325,1419,822,10000.0,0.11749999999999972
HI,Low,1,235000.0,225000.0,6.25,6.375,213,192,10000.0,-0.125
IN,Middle,1,245000.0,235000.0,6.875,6.875,20455,10678,10000.0,0.0
TN,Middle,32,205000.0,195000.0,6.75,6.875,5614,2626,10000.0,-0.125
NM,Middle,32,205000.0,185000.0,6.75,6.75,1110,588,20000.0,0.0
OK,Low,31,85000.0,75000.0,7.375,7.125,633,443,10000.0,0.25
RI,Low,31,105000.0,105000.0,7.5,7.375,315,277,0.0,0.125
NC,High,1,425000.0,405000.0,6.5,6.625,29017,13143,20000.0,-0.125
MN,Middle,2,55000.0,55000.0,7.75,7.75,3013,1988,0.0,0.0
GA,Low,4,55000.0,55000.0,8.25,8.35,1841,1829,0.0,-0.09999999999999964
NY,Low,32,125000.0,125000.0,6.625,6.625,2014,1810,0.0,0.0
NJ,High,2,125000.0,105000.0,7.99,7.94,6149,2437,20000.0,0.04999999999999982
AZ,Low,2,55000.0,55000.0,7.74,7.74,1724,1756,0.0,0.0
LA,Middle,31,165000.0,155000.0,7.125,6.99,1047,415,10000.0,0.1349999999999998
VT,High,31,205000.0,165000.0,7.49,7.75,219,98,40000.0,-0.2599999999999998
RI,Low,2,65000.0,55000.0,7.75,7.6425,360,346,10000.0,0.10749999999999993
OK,Low,2,45000.0,35000.0,8.0,7.9,888,725,10000.0,0.09999999999999964
AZ,Low,31,155000.0,145000.0,7.125,7.0,910,840,10000.0,0.125
AK,High,4,85000.0,105000.0,9.0,7.875,127,57,-20000.0,1.125
VI,Middle,1,275000.0,320000.0,8.125,8.0,7,4,-45000.0,0.125
MS,Middle,1,225000.0,235000.0,6.75,6.75,6859,3552,-10000.0,0.0
ME,High,32,225000.0,210000.0,7.25,6.99,415,220,15000.0,0.2599999999999998
SD,High,2,85000.0,75000.0,8.25,8.4375,278,116,10000.0,-0.1875
NM,High,31,275000.0,185000.0,7.25,7.625,182,103,90000.0,-0.375
GU,Middle,1,385000.0,415000.0,6.125,6.375,31,13,-30000.0,-0.25
NJ,Middle,31,165000.0,155000.0,7.16,7.09,1782,1221,10000.0,0.07000000000000028
CA,Low,32,195000.0,175000.0,6.75,6.75,4365,4067,20000.0,0.0
MI,High,1,365000.0,335000.0,6.875,6.875,14947,6064,30000.0,0.0
DC,Low,4,105000.0,70000.0,6.99,8.245000000000001,17,32,35000.0,-1.2550000000000008
KS,Middle,1,235000.0,235000.0,6.75,6.75,7054,3631,0.0,0.0
SC,Middle,32,215000.0,195000.0,6.75,6.75,3472,1647,20000.0,0.0
VA,Middle,4,65000.0,65000.0,8.5,8.5,4144,2148,0.0,0.0
UT,Low,2,55000.0,45000.0,7.75,7.99,1130,1038,10000.0,-0.2400000000000002
WY,High,32,295000.0,205000.0,6.99,7.5,143,57,90000.0,-0.5099999999999998
SC,Low,32,165000.0,145000.0,6.5,6.625,2493,2113,20000.0,-0.125
OR,Middle,2,65000.0,65000.0,8.45,8.25,2802,2076,0.0,0.1999999999999993
GA,Middle,1,305000.0,305000.0,6.625,6.625,31761,21607,0.0,0.0
SD,High,31,175000.0,155000.0,7.75,7.25,246,71,20000.0,0.5
OH,High,1,355000.0,345000.0,6.64,6.75,17825,7467,10000.0,-0.11000000000000032
GA,High,32,265000.0,255000.0,7.125,7.125,3654,1597,10000.0,0.0
CA,Middle,2,85000.0,85000.0,8.19,8.0,10153,7500,0.0,0.1899999999999995
AZ,High,31,305000.0,285000.0,7.5,7.5,1472,561,20000.0,0.0
NJ,Middle,2,75000.0,75000.0,8.15,7.99,3474,2232,0.0,0.16000000000000014
WV,High,1,315000.0,295000.0,6.625,6.625,1570,735,20000.0,0.0
IL,Low,2,45000.0,35000.0,8.25,8.49,1493,1311,10000.0,-0.2400000000000002
CA,Middle,31,255000.0,255000.0,6.875,6.875,3311,2447,0.0,0.0
OK,Middle,2,55000.0,55000.0,8.0,8.0,1591,783,0.0,0.0
NH,Low,4,65000.0,55000.0,7.99,7.75,291,272,10000.0,0.2400000000000002
MS,Low,32,125000.0,115000.0,6.49,6.5,919,757,10000.0,-0.009999999999999787
VA,Low,4,55000.0,55000.0,8.24,8.0,1635,1504,0.0,0.2400000000000002
UT,Low,31,115000.0,105000.0,7.24,7.24,1013,769,10000.0,0.0
MN,Low,1,185000.0,175000.0,6.625,6.625,8175,6405,10000.0,0.0
OR,Middle,31,135000.0,125000.0,7.99,7.99,963,717,10000.0,0.0
NE,Low,32,115000.0,120000.0,6.75,6.75,561,414,-5000.0,0.0
NC,Low,32,165000.0,155000.0,6.5,6.5,4373,3595,10000.0,0.0
OH,Low,1,145000.0,135000.0,6.75,6.75,23100,17395,10000.0,0.0
KY,Middle,32,165000.0,155000.0,6.99,6.99,2327,1066,10000.0,0.0
IN,Low,4,45000.0,45000.0,8.25,8.25,3058,2252,0.0,0.0
NM,High,2,105000.0,85000.0,8.125,8.25,394,186,20000.0,-0.125
OK,Middle,31,145000.0,155000.0,7.25,7.125,871,382,-10000.0,0.125
PR,High,1,275000.0,255000.0,6.5,6.5,1046,396,20000.0,0.0
NV,High,1,465000.0,445000.0,6.625,6.625,7753,3693,20000.0,0.0
MD,High,1,505000.0,485000.0,6.625,6.625,14546,8104,20000.0,0.0
AZ,High,2,105000.0,105000.0,7.75,7.6,3686,1677,0.0,0.15000000000000036
MT,Middle,4,65000.0,55000.0,8.74,8.7,415,199,10000.0,0.040000000000000924
OR,Low,32,185000.0,165000.0,6.625,6.625,1047,793,20000.0,0.0
IL,Low,31,85000.0,75000.0,7.055,6.99,1497,1329,10000.0,0.0649999999999995
NH,Middle,32,205000.0,185000.0,6.625,6.5,1031,612,20000.0,0.125
IL,High,1,395000.0,375000.0,6.75,6.875,21708,9726,20000.0,-0.125
CT,Middle,32,205000.0,205000.0,6.75,6.75,1414,961,0.0,0.0
WI,Middle,4,55000.0,45000.0,7.5,7.25,5000,3000,10000.0,0.25
FL,High,1,445000.0,415000.0,6.625,6.75,67061,29524,30000.0,-0.125
CT,Low,1,185000.0,165000.0,6.375,6.25,3367,3229,20000.0,0.125
DC,Middle,32,305000.0,265000.0,6.875,6.5,95,139,40000.0,0.375
DC,High,32,355000.0,275000.0,7.25,7.25,186,147,80000.0,0.0
CO,Middle,2,70000.0,65000.0,8.75,8.75,3600,2427,5000.0,0.0
WA,Low,2,55000.0,55000.0,8.24,8.0,1168,1227,0.0,0.2400000000000002
TX,High,4,125000.0,105000.0,7.95,7.875,6493,2149,20000.0,0.07500000000000018
ME,Middle,2,65000.0,55000.0,7.75,7.75,1021,680,10000.0,0.0
MT,High,32,345000.0,285000.0,7.0,6.99,305,95,60000.0,0.009999999999999787
OK,High,4,75000.0,70000.0,8.75,8.74,937,280,5000.0,0.009999999999999787
AR,Middle,2,55000.0,55000.0,8.75,8.75,1015,433,0.0,0.0
ME,Middle,31,135000.0,140000.0,7.49,7.25,317,242,-5000.0,0.2400000000000002
AR,Middle,31,135000.0,125000.0,7.375,7.125,862,338,10000.0,0.25
ND,High,4,85000.0,85000.0,8.0,8.39,266,88,0.0,-0.39000000000000057
TN,High,4,125000.0,105000.0,8.5,8.55,3114,988,20000.0,-0.05000000000000071
TN,Low,1,195000.0,185000.0,6.5,6.5,12756,9527,10000.0,0.0
WY,Middle,31,135000.0,150000.0,7.375,7.0,121,64,-15000.0,0.375
PR,Middle,4,135000.0,135000.0,6.875,6.625,37,17,0.0,0.25
FL,Middle,2,75000.0,65000.0,8.24,8.0,10017,6202,10000.0,0.2400000000000002
MO,Middle,4,55000.0,55000.0,8.25,8.25,2569,1291,0.0,0.0
NE,Middle,4,55000.0,55000.0,8.0,8.0,790,366,0.0,0.0
NV,Low,31,155000.0,155000.0,6.99,7.032500000000001,362,348,0.0,-0.042500000000000426
MI,Middle,31,105000.0,105000.0,7.49,7.25,3028,1607,0.0,0.2400000000000002
KS,Low,4,35000.0,35000.0,7.99,7.84,502,444,0.0,0.15000000000000036
WY,Middle,2,65000.0,55000.0,8.525,7.625,228,74,10000.0,0.9000000000000004
NY,High,2,105000.0,105000.0,7.59,7.49,7037,3235,0.0,0.09999999999999964
WA,Low,31,155000.0,145000.0,7.13,7.19,742,708,10000.0,-0.0600000000000005
NV,Low,2,55000.0,55000.0,8.25,8.225,490,482,0.0,0.025000000000000355
MA,Middle,1,375000.0,355000.0,6.562,6.5,11059,8585,20000.0,0.06200000000000028
RI,Middle,1,355000.0,335000.0,6.75,6.75,2563,1899,20000.0,0.0
KY,High,2,95000.0,85000.0,8.0,8.25,1397,573,10000.0,-0.25
KY,High,31,165000.0,145000.0,7.73,7.75,1230,365,20000.0,-0.019999999999999574
MI,Middle,2,55000.0,55000.0,8.39,8.48,5659,3147,0.0,-0.08999999999999986
CA,High,31,405000.0,385000.0,7.24,7.112,8132,3419,20000.0,0.1280000000000001
WA,High,4,125000.0,105000.0,8.25,8.25,4157,1981,20000.0,0.0
AL,High,4,95000.0,85000.0,8.5,8.375,1953,616,10000.0,0.125
CA,High,2,155000.0,125000.0,8.25,8.0,18241,9337,30000.0,0.25
TX,Low,1,195000.0,185000.0,6.625,6.5,34388,26054,10000.0,0.125
AK,Middle,1,335000.0,325000.0,6.431,6.5,2309,1117,10000.0,-0.06899999999999995
NJ,Low,32,165000.0,155000.0,6.5,6.5,1169,1083,10000.0,0.0
FL,Low,4,55000.0,55000.0,8.085,8.25,4973,4528,0.0,-0.16499999999999915
CO,Middle,31,185000.0,185000.0,7.375,7.375,1307,789,0.0,0.0
NY,High,31,255000.0,215000.0,7.25,6.99,3486,1455,40000.0,0.2599999999999998
WI,Low,1,165000.0,155000.0,6.625,6.625,9246,6570,10000.0,0.0
